2026-01-16 13:24:34 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:34 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:34 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:34 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:34 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:34 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:35 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:35 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:35 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:35 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:35 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:35 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:36 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:36 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:36 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:36 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:36 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:36 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:36 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:37 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:37 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:37 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:37 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:37 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:37 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:38 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:38 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:38 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:38 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:38 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:38 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:38 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:39 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:39 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:39 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:39 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:39 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:39 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:40 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:40 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:40 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:40 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:40 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:41 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:42 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:42 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:42 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:42 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:42 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:42 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:42 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:43 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:43 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:43 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:43 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:43 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:44 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:44 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:44 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:44 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:44 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:44 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:44 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:45 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:45 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:45 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:45 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:46 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:46 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:46 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:47 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:47 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:47 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:24:48 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
